Team,Date,Home_Away,Opp,W/L,W-L,Date_Clean
BOS,"Friday, Jun 8",Home,CHW,L,43-21,Jun 8 2018
BOS,"Saturday, Jun 9",Home,CHW,W,44-21,Jun 9 2018
BOS,"Sunday, Jun 10",Home,CHW,L,44-22,Jun 10 2018
BOS,"Monday, Jun 11",@,BAL,W,45-22,Jun 11 2018
BOS,"Tuesday, Jun 12",@,BAL,W,46-22,Jun 12 2018
BOS,"Wednesday, Jun 13",@,BAL,W,47-22,Jun 13 2018
BOS,"Thursday, Jun 14",@,SEA,W,48-22,Jun 14 2018
BOS,"Friday, Jun 15",@,SEA,L,48-23,Jun 15 2018
BOS,"Saturday, Jun 16",@,SEA,L,48-24,Jun 16 2018
BOS,"Sunday, Jun 17",@,SEA,W,49-24,Jun 17 2018
BOS,"Tuesday, Jun 19",@,MIN,L,49-25,Jun 19 2018
BOS,"Wednesday, Jun 20",@,MIN,L,49-26,Jun 20 2018
BOS,"Thursday, Jun 21",@,MIN,W,50-26,Jun 21 2018
BOS,"Friday, Jun 22",Home,SEA,W,51-26,Jun 22 2018
BOS,"Saturday, Jun 23",Home,SEA,L,51-27,Jun 23 2018
BOS,"Sunday, Jun 24",Home,SEA,W,52-27,Jun 24 2018
BOS,"Tuesday, Jun 26",Home,LAA,W,53-27,Jun 26 2018
BOS,"Wednesday, Jun 27",Home,LAA,W,54-27,Jun 27 2018
BOS,"Thursday, Jun 28",Home,LAA,W,55-27,Jun 28 2018
BOS,"Friday, Jun 29",@,NYY,L,55-28,Jun 29 2018
BOS,"Saturday, Jun 30",@,NYY,W,56-28,Jun 30 2018
BOS,"Sunday, Jul 1",@,NYY,L,56-29,Jul 1 2018
BOS,"Monday, Jul 2",@,WSN,W,57-29,Jul 2 2018
BOS,"Tuesday, Jul 3",@,WSN,W,58-29,Jul 3 2018
BOS,"Wednesday, Jul 4",@,WSN,W,59-29,Jul 4 2018
BOS,"Friday, Jul 6",@,KCR,W,60-29,Jul 6 2018
BOS,"Saturday, Jul 7",@,KCR,W,61-29,Jul 7 2018
BOS,"Sunday, Jul 8",@,KCR,W,62-29,Jul 8 2018
BOS,"Monday, Jul 9",Home,TEX,W,63-29,Jul 9 2018
BOS,"Tuesday, Jul 10",Home,TEX,W,64-29,Jul 10 2018
BOS,"Wednesday, Jul 11",Home,TEX,W,65-29,Jul 11 2018
BOS,"Thursday, Jul 12",Home,TOR,W,66-29,Jul 12 2018
BOS,"Friday, Jul 13",Home,TOR,L,66-30,Jul 13 2018
BOS,"Saturday, Jul 14",Home,TOR,W-wo,67-30,Jul 14 2018
BOS,"Sunday, Jul 15",Home,TOR,W,68-30,Jul 15 2018
BOS,"Friday, Jul 20",@,DET,W,69-30,Jul 20 2018
BOS,"Saturday, Jul 21",@,DET,L,69-31,Jul 21 2018
BOS,"Sunday, Jul 22",@,DET,W,70-31,Jul 22 2018
BOS,"Monday, Jul 23",@,BAL,W,71-31,Jul 23 2018
BOS,"Tuesday, Jul 24",@,BAL,L,71-32,Jul 24 2018
BOS,"Thursday, Jul 26",Home,MIN,L,71-33,Jul 26 2018
BOS,"Friday, Jul 27",Home,MIN,W-wo,72-33,Jul 27 2018
BOS,"Saturday, Jul 28",Home,MIN,W,73-33,Jul 28 2018
BOS,"Sunday, Jul 29",Home,MIN,W,74-33,Jul 29 2018
BOS,"Monday, Jul 30",Home,PHI,W-wo,75-33,Jul 30 2018
BOS,"Tuesday, Jul 31",Home,PHI,L,75-34,Jul 31 2018
BOS,"Thursday, Aug 2",Home,NYY,W,76-34,Aug 2 2018
BOS,"Friday, Aug 3",Home,NYY,W,77-34,Aug 3 2018
BOS,"Saturday, Aug 4",Home,NYY,W,78-34,Aug 4 2018
BOS,"Sunday, Aug 5",Home,NYY,W-wo,79-34,Aug 5 2018
BOS,"Tuesday, Aug 7",@,TOR,W,80-34,Aug 7 2018
BOS,"Wednesday, Aug 8",@,TOR,W,81-34,Aug 8 2018
BOS,"Thursday, Aug 9",@,TOR,L,81-35,Aug 9 2018
BOS,"Friday, Aug 10",@,BAL,W,82-35,Aug 10 2018
BOS,"Saturday, Aug 11 (1)",@,BAL,W,83-35,Aug 11  2018
BOS,"Saturday, Aug 11 (2)",@,BAL,W,84-35,Aug 11  2018
BOS,"Sunday, Aug 12",@,BAL,W,85-35,Aug 12 2018
BOS,"Tuesday, Aug 14",@,PHI,W,86-35,Aug 14 2018
BOS,"Wednesday, Aug 15",@,PHI,L,86-36,Aug 15 2018
BOS,"Friday, Aug 17",Home,TBR,W,87-36,Aug 17 2018
BOS,"Saturday, Aug 18",Home,TBR,W,88-36,Aug 18 2018
BOS,"Sunday, Aug 19",Home,TBR,L,88-37,Aug 19 2018
BOS,"Monday, Aug 20",Home,CLE,L,88-38,Aug 20 2018
BOS,"Tuesday, Aug 21",Home,CLE,L,88-39,Aug 21 2018
BOS,"Wednesday, Aug 22",Home,CLE,W,89-39,Aug 22 2018
BOS,"Thursday, Aug 23",Home,CLE,W,90-39,Aug 23 2018
BOS,"Friday, Aug 24",@,TBR,L,90-40,Aug 24 2018
BOS,"Saturday, Aug 25",@,TBR,L,90-41,Aug 25 2018
BOS,"Sunday, Aug 26",@,TBR,L,90-42,Aug 26 2018
BOS,"Tuesday, Aug 28",Home,MIA,W-wo,91-42,Aug 28 2018
BOS,"Wednesday, Aug 29",Home,MIA,W,92-42,Aug 29 2018
BOS,"Thursday, Aug 30",@,CHW,W,93-42,Aug 30 2018
BOS,"Friday, Aug 31",@,CHW,L,93-43,Aug 31 2018
BOS,"Saturday, Sep 1",@,CHW,W,94-43,Sep 1 2018
BOS,"Sunday, Sep 2",@,CHW,L,94-44,Sep 2 2018
BOS,"Monday, Sep 3",@,ATL,W,95-44,Sep 3 2018
BOS,"Tuesday, Sep 4",@,ATL,W,96-44,Sep 4 2018
BOS,"Wednesday, Sep 5",@,ATL,W,97-44,Sep 5 2018
BOS,"Friday, Sep 7",Home,HOU,L,97-45,Sep 7 2018
BOS,"Saturday, Sep 8",Home,HOU,L,97-46,Sep 8 2018
BOS,"Sunday, Sep 9",Home,HOU,W-wo,98-46,Sep 9 2018
BOS,"Tuesday, Sep 11",Home,TOR,W,99-46,Sep 11 2018
BOS,"Wednesday, Sep 12",Home,TOR,W,100-46,Sep 12 2018
BOS,"Thursday, Sep 13",Home,TOR,W,101-46,Sep 13 2018
BOS,"Friday, Sep 14",Home,NYM,L,101-47,Sep 14 2018
BOS,"Saturday, Sep 15",Home,NYM,W,102-47,Sep 15 2018
BOS,"Sunday, Sep 16",Home,NYM,W,103-47,Sep 16 2018
BOS,"Tuesday, Sep 18",@,NYY,L,103-48,Sep 18 2018
BOS,"Wednesday, Sep 19",@,NYY,L,103-49,Sep 19 2018
BOS,"Thursday, Sep 20",@,NYY,W,104-49,Sep 20 2018
BOS,"Friday, Sep 21",@,CLE,W,105-49,Sep 21 2018
BOS,"Saturday, Sep 22",@,CLE,L-wo,105-50,Sep 22 2018
BOS,"Sunday, Sep 23",@,CLE,L-wo,105-51,Sep 23 2018
BOS,"Monday, Sep 24",Home,BAL,W,106-51,Sep 24 2018
BOS,"Wednesday, Sep 26 (1)",Home,BAL,W,107-51,Sep 26  2018
BOS,"Wednesday, Sep 26 (2)",Home,BAL,L,107-52,Sep 26  2018
BOS,"Friday, Sep 28",Home,NYY,L,107-53,Sep 28 2018
BOS,"Saturday, Sep 29",Home,NYY,L,107-54,Sep 29 2018
CHW,"Thursday, Mar 29",@,KCR,W,1-0,Mar 29 2018
CHW,"Saturday, Mar 31",@,KCR,W,2-0,Mar 31 2018
CHW,"Monday, Apr 2",@,TOR,L,2-1,Apr 2 2018
CHW,"Tuesday, Apr 3",@,TOR,L,2-2,Apr 3 2018
CHW,"Wednesday, Apr 4",@,TOR,W,3-2,Apr 4 2018
CHW,"Thursday, Apr 5",Home,DET,L,3-3,Apr 5 2018
CHW,"Saturday, Apr 7",Home,DET,L,3-4,Apr 7 2018
CHW,"Sunday, Apr 8",Home,DET,L,3-5,Apr 8 2018
CHW,"Monday, Apr 9",Home,TBR,L,3-6,Apr 9 2018
CHW,"Tuesday, Apr 10",Home,TBR,L,3-7,Apr 10 2018
CHW,"Wednesday, Apr 11",Home,TBR,W,4-7,Apr 11 2018
CHW,"Thursday, Apr 12",@,MIN,L,4-8,Apr 12 2018
CHW,"Monday, Apr 16",@,OAK,L,4-9,Apr 16 2018
CHW,"Tuesday, Apr 17",@,OAK,L,4-10,Apr 17 2018
CHW,"Wednesday, Apr 18",@,OAK,L-wo,4-11,Apr 18 2018
CHW,"Friday, Apr 20",Home,HOU,L,4-12,Apr 20 2018
CHW,"Saturday, Apr 21",Home,HOU,L,4-13,Apr 21 2018
CHW,"Sunday, Apr 22",Home,HOU,L,4-14,Apr 22 2018
CHW,"Monday, Apr 23",Home,SEA,W,5-14,Apr 23 2018
CHW,"Tuesday, Apr 24",Home,SEA,L,5-15,Apr 24 2018
CHW,"Wednesday, Apr 25",Home,SEA,L,5-16,Apr 25 2018
CHW,"Thursday, Apr 26",@,KCR,W,6-16,Apr 26 2018
CHW,"Friday, Apr 27",@,KCR,W,7-16,Apr 27 2018
CHW,"Saturday, Apr 28 (1)",@,KCR,W,8-16,Apr 28  2018
CHW,"Saturday, Apr 28 (2)",@,KCR,L,8-17,Apr 28  2018
CHW,"Sunday, Apr 29",@,KCR,L,8-18,Apr 29 2018
CHW,"Tuesday, May 1",@,STL,L-wo,8-19,May 1 2018
CHW,"Wednesday, May 2",@,STL,L,8-20,May 2 2018
CHW,"Thursday, May 3",Home,MIN,W-wo,9-20,May 3 2018
CHW,"Friday, May 4",Home,MIN,L,9-21,May 4 2018
CHW,"Saturday, May 5",Home,MIN,L,9-22,May 5 2018
CHW,"Sunday, May 6",Home,MIN,L,9-23,May 6 2018
CHW,"Tuesday, May 8",Home,PIT,L,9-24,May 8 2018
CHW,"Wednesday, May 9",Home,PIT,L,9-25,May 9 2018
CHW,"Friday, May 11",@,CHC,L,9-26,May 11 2018
CHW,"Saturday, May 12",@,CHC,L,9-27,May 12 2018
CHW,"Sunday, May 13",@,CHC,W,10-27,May 13 2018
CHW,"Tuesday, May 15",@,PIT,L,10-28,May 15 2018
CHW,"Wednesday, May 16",@,PIT,L,10-29,May 16 2018
CHW,"Thursday, May 17",Home,TEX,W,11-29,May 17 2018
CHW,"Friday, May 18",Home,TEX,L,11-30,May 18 2018
CHW,"Saturday, May 19",Home,TEX,W,12-30,May 19 2018
CHW,"Sunday, May 20",Home,TEX,W,13-30,May 20 2018
CHW,"Monday, May 21",Home,BAL,L,13-31,May 21 2018
CHW,"Tuesday, May 22",Home,BAL,W,14-31,May 22 2018
CHW,"Wednesday, May 23",Home,BAL,W,15-31,May 23 2018
CHW,"Thursday, May 24",Home,BAL,L,15-32,May 24 2018
CHW,"Friday, May 25",@,DET,L,15-33,May 25 2018
CHW,"Saturday, May 26",@,DET,W,16-33,May 26 2018
CHW,"Sunday, May 27",@,DET,L,16-34,May 27 2018
CHW,"Monday, May 28",@,CLE,L,16-35,May 28 2018
CHW,"Tuesday, May 29",@,CLE,L,16-36,May 29 2018
CHW,"Wednesday, May 30",@,CLE,L,16-37,May 30 2018
